,1-year return,5-year annualised return,"Annualised return, 2010-2021","Standard deviation, monthly returns","Minimum, monthly returns","Maximum, monthly returns"
10% Bitcoin / 90% Equities,58.31555715558818,42.47933875502017,238.86558043555937,15.601389141734302,-23.597059402066666,50.481145599582256
10% Bitcoin / 90% Bonds,22.68493833747911,19.627386735705002,115.36414926643674,12.982706567776912,-10.039024066980984,52.892581794356545
80% Equities / 20% Bonds,24.94322114081211,12.497607602472801,9.94895484842452,6.19913914748885,-19.799988199973505,15.04055418875292
10% Bitcoin / 75% Equities / 15% Bonds,51.88286880562296,38.326804293235284,214.86063265954058,14.933876876110967,-19.483087183347447,50.8939014179189
100% Equities,32.53467843631779,15.797002724795641,13.08826437343576,7.757858694463302,-25.107745351557686,18.7323943661972
100% Bonds,-2.200033846674576,0.930822165881926,0.2833304676793577,2.606497442045791,-6.285042503165128,6.004996156802456
